date,S&P500,나스닥100,나스닥종합,다우존스,러셀2000,반도체(SOX),QQQ(나100 1x),QLD(나100 2x),TQQQ(나100 3x),SPY(S&P 1x),SSO(S&P 2x),UPRO(S&P 3x),SOXX(반도체 1x),SOXL(반도체 3x),DIA(다우 1x),UDOW(다우 3x),IWM(러셀 1x),TNA(러셀 3x)
1927-12-31,100.0,,,,,,,,,,,,,,,,,
1928-01-31,99.49037285749989,,,,,,,,,,,,,,,,,
1928-02-29,97.73499647799323,,,,,,,,,,,,,,,,,
1928-03-31,109.1732777646133,,,,,,,,,,,,,,,,,
1928-04-30,111.83465555292267,,,,,,,,,,,,,,,,,
1928-05-31,113.25028410422549,,,,,,,,,,,,,,,,,
1928-06-30,108.3805184316194,,,,,,,,,,,,,,,,,
1928-07-31,110.02265273531724,,,,,,,,,,,,,,,,,
1928-08-31,118.17667621493032,,,,,,,,,,,,,,,,,
1928-09-30,119.70554684204193,,,,,,,,,,,,,,,,,
1928-10-31,122.76330969704262,,,,,,,,,,,,,,,,,
1928-11-30,137.48584879066968,,,,,,,,,,,,,,,,,
1928-12-31,137.88222305697226,,,,,,,,,,,,,,,,,
1929-01-31,145.75311434609154,,,,,,,,,,,,,,,,,
1929-02-28,144.9037393753876,,,,,,,,,,,,,,,,,
1929-03-31,144.56399154718375,,,,,,,,,,,,,,,,,
1929-04-30,146.8856215072893,,,,,,,,,,,,,,,,,
1929-05-31,140.60022728338038,,,,,,,,,,,,,,,,,
1929-06-30,155.20951350080992,,,,,,,,,,,,,,,,,
1929-07-31,163.53340549433057,,,,,,,,,,,,,,,,,
1929-08-31,179.5583202630629,,,,,,,,,,,,,,,,,
1929-09-30,170.78142756514092,,,,,,,,,,,,,,,,,
1929-10-31,136.74971589577453,,,,,,,,,,,,,,,,,
1929-11-30,118.4597976050354,,,,,,,,,,,,,,,,,
1929-12-31,121.46093402193732,,,,,,,,,,,,,,,,,
1930-01-31,129.0487039209515,,,,,,,,,,,,,,,,,
1930-02-28,131.8233345854584,,,,,,,,,,,,,,,,,
1930-03-31,136.74971589577453,,,,,,,,,,,,,,,,,
1930-04-30,140.996601549683,,,,,,,,,,,,,,,,,
1930-05-31,138.67497158957744,,,,,,,,,,,,,,,,,
1930-06-30,115.85503545443608,,,,,,,,,,,,,,,,,
1930-07-31,120.10192110834453,,,,,,,,,,,,,,,,,
1930-08-31,121.00793331753596,,,,,,,,,,,,,,,,,
1930-09-30,105.26613993890868,,,,,,,,,,,,,,,,,
1930-10-31,95.92299366038782,,,,,,,,,,,,,,,,,
1930-11-30,92.75197792918964,,,,,,,,,,,,,,,,,
1930-12-31,86.86296877197204,,,,,,,,,,,,,,,,,
1931-01-31,91.67610800647937,,,,,,,,,,,,,,,,,
1931-02-28,102.09513500809922,,,,,,,,,,,,,,,,,
1931-03-31,94.507365109085,,,,,,,,,,,,,,,,,
